,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOLS
SH3YL1,-0.953035878,4.544420753,6.68389927,1.39E-06,0.029549026,4.463015569,SH3YL1
CCDC91,-0.601286728,3.747824942,5.569565133,1.67E-05,0.122170759,2.578204398,CCDC91
KIR2DL3,0.50889729,3.633325633,-5.50163086,1.95E-05,0.122170759,2.456648049,KIR2DL3
FAM241A,-0.826609133,4.535299374,5.428652904,2.30E-05,0.122170759,2.325286654,FAM241A
TOGARAM1,-0.977933209,4.47958172,5.149057689,4.41E-05,0.180582743,1.814873248,TOGARAM1
RRM2B,-0.507647899,3.63785339,5.032869395,5.78E-05,0.180582743,1.59963914,RRM2B
EDEM3,-1.033420389,5.657961305,5.01972714,5.96E-05,0.180582743,1.575185349,EDEM3
TMEM106B,-0.376543648,3.611255117,4.850800253,8.86E-05,0.208507131,1.259012704,TMEM106B
TMEM135,-0.385748856,3.770577374,4.645690978,0.000143741,0.208507131,0.870896789,TMEM135
GPBP1L1,-0.728258112,4.22537122,4.618004624,0.000153467,0.208507131,0.818190133,GPBP1L1
ZNF516,0.295863198,3.305847942,-4.59201053,0.000163201,0.208507131,0.76864197,ZNF516
COG3,-0.511732125,4.210100586,4.565749577,0.000173668,0.208507131,0.718524924,COG3
PHYH,-1.050020986,5.413260526,4.562177826,0.000175143,0.208507131,0.711703932,PHYH
TIGD7,-0.434637011,3.726670895,4.55352265,0.00017877,0.208507131,0.695170617,TIGD7
RPRD1A,-0.647370175,4.860635965,4.532678536,0.000187817,0.208507131,0.655328065,RPRD1A
PCMTD1,-0.672717959,4.816442318,4.531992487,0.000188123,0.208507131,0.654016106,PCMTD1
TMEM263,-0.510304576,3.984160511,4.512332239,0.000197093,0.208507131,0.616402828,TMEM263
EIF3A,-0.966513751,6.859171412,4.503555951,0.000201235,0.208507131,0.599602374,EIF3A
IBTK,-0.797175939,5.642898187,4.455726685,0.000225397,0.208507131,0.507938263,IBTK
PURA,-0.29953349,3.520796556,4.419871131,0.000245406,0.208507131,0.439110823,PURA
SNORD89,0.492300147,3.895354985,-4.394219489,0.000260807,0.208507131,0.38981552,SNORD89
RASGRP3,-0.614830882,4.35845775,4.379691079,0.000269957,0.208507131,0.36187645,RASGRP3
TAB3,0.2572533,3.340955858,-4.356413416,0.000285293,0.208507131,0.31708366,TAB3
RRAGB,-0.667280892,4.647254733,4.354428438,0.000286641,0.208507131,0.313262426,RRAGB
SNAP23,-0.492651616,4.006163651,4.352858235,0.000287711,0.208507131,0.310239493,SNAP23
C18orf32,-0.685159788,4.541640446,4.347331107,0.000291512,0.208507131,0.299597538,C18orf32
ELOVL6,-0.391939723,3.712788929,4.344808988,0.000293262,0.208507131,0.294740822,ELOVL6
NABP1,-0.794957625,6.047710503,4.334951858,0.000300207,0.208507131,0.275755762,NABP1
JUN,-1.348631144,8.678470682,4.334722031,0.000300371,0.208507131,0.275313039,JUN
TRAPPC10,-0.475495254,4.079142701,4.328753887,0.000304657,0.208507131,0.263815361,TRAPPC10
EPB41L2,-0.512513336,3.88052142,4.316733108,0.000313479,0.208507131,0.240650913,EPB41L2
RDH11,-0.916666608,5.304533357,4.301038916,0.000325383,0.208507131,0.210395257,RDH11
ROCK1,-0.478303087,3.839911563,4.290391209,0.000333716,0.208507131,0.189860556,ROCK1
GRIA2,0.187749857,3.198614744,-4.28969061,0.000334272,0.208507131,0.188509196,GRIA2
ITGA6,-0.452579351,3.989162322,4.272350189,0.000348327,0.211066291,0.155053548,ITGA6
TRMT1L,-0.424196781,3.577101974,4.241523519,0.000374791,0.216675498,0.0955403,TRMT1L
MBNL2,-0.369050041,3.671122507,4.227189012,0.000387774,0.216675498,0.067850737,MBNL2
RWDD4,-0.821295566,5.307317837,4.222580395,0.000392042,0.216675498,0.058946379,RWDD4
MB21D2,-1.117741483,5.158835629,4.215755574,0.000398451,0.216675498,0.0457583,MB21D2
C15orf40,-0.639051474,4.514520997,4.203484922,0.000410237,0.217507863,0.022041685,C15orf40
FAM13B,-0.937717509,6.739989616,4.175340677,0.000438606,0.226876895,-0.032379249,FAM13B
SAR1A,-0.885810623,5.758741456,4.122132736,0.000497707,0.23198703,-0.135346573,SAR1A
GNA13,-0.836903603,5.247524534,4.110048985,0.000512201,0.23198703,-0.158744189,GNA13
CCL4,0.47816245,3.778036221,-4.109838114,0.000512458,0.23198703,-0.159152536,CCL4
SP4,-0.989884829,5.655843222,4.104126197,0.000519459,0.23198703,-0.17021403,SP4
TMEM30A,-1.075067233,4.991399619,4.088670757,0.000538884,0.23198703,-0.2001492,TMEM30A
SMNDC1,-0.631634074,5.202490953,4.086819827,0.000541259,0.23198703,-0.203734654,SMNDC1
ICOS,-0.824642412,9.00628146,4.083728885,0.000545247,0.23198703,-0.209722351,ICOS
EIF4A2,-0.528056582,9.650930336,4.068338368,0.000565548,0.23198703,-0.239540156,EIF4A2
BTAF1,-0.833183419,6.660294776,4.068064921,0.000565916,0.23198703,-0.240069989,BTAF1
CHRNB3,0.259517695,3.278339956,-4.062785649,0.000573056,0.23198703,-0.250299505,CHRNB3
MMD,-0.73024196,4.735281347,4.059349589,0.000577752,0.23198703,-0.256957826,MMD
ZNF365,-0.694631927,4.222532381,4.0544273,0.000584546,0.23198703,-0.266496597,ZNF365
CCDC85C,-0.475095652,4.259930231,4.039614868,0.000605475,0.23198703,-0.295204382,CCDC85C
ZNF16,-0.593059267,4.19882088,4.036784873,0.000609557,0.23198703,-0.300689673,ZNF16
KCTD18,-0.506876603,4.382858884,4.034712246,0.000612565,0.23198703,-0.30470708,KCTD18
TMEM44,-0.688074588,4.191037627,4.011236683,0.00064768,0.24098223,-0.350215626,TMEM44
FUT1,-0.175190848,3.175443089,3.988063022,0.000684309,0.243789802,-0.395147461,FUT1
STK36,-1.225402006,6.179911777,3.97978629,0.000697886,0.243789802,-0.411197067,STK36
ASB13,-0.545235344,4.408546087,3.970649322,0.000713185,0.243789802,-0.428915652,ASB13
PSMD5,-0.406180645,4.047118379,3.970330787,0.000713725,0.243789802,-0.429533378,PSMD5
AMY2B,-0.527008132,4.09210531,3.969599295,0.000714965,0.243789802,-0.43095194,AMY2B
ENPP4,-0.262127431,3.455445014,3.964193427,0.000724196,0.243789802,-0.441435543,ENPP4
GTPBP8,-0.581098814,4.499167171,3.955956323,0.000738491,0.244717606,-0.45741024,GTPBP8
SMIM12,-0.761407231,4.730494521,3.94215398,0.000763077,0.245685842,-0.48417901,SMIM12
MAP4K5,-0.62941597,4.94193776,3.941323134,0.000764582,0.245685842,-0.485790419,MAP4K5
TEP1,0.270733588,3.388645919,-3.92331149,0.00079796,0.252583959,-0.520724355,TEP1
PTGER4P2-CDK2AP2P2,0.217198888,3.347814711,-3.910769351,0.000822053,0.256383813,-0.545050569,PTGER4P2-CDK2AP2P2
CHMP5,-0.916954955,7.290028285,3.901185607,0.00084095,0.258476209,-0.56363885,CHMP5
ETS1,-1.115967082,9.522236715,3.887850622,0.000867963,0.260666659,-0.589502678,ETS1
EAF1,-0.75051517,5.452601567,3.883148896,0.000877692,0.260666659,-0.598621773,EAF1
RBM7,-0.41636046,3.848320201,3.877675396,0.000889154,0.260666659,-0.609237623,RBM7
SCAMP1,-0.698872814,5.147333492,3.871948756,0.000901305,0.260666659,-0.620344273,SCAMP1
PBRM1,-0.570016999,4.297442092,3.859760721,0.000927719,0.260666659,-0.643981922,PBRM1
FLI1,-0.848483089,6.263354188,3.842044133,0.00096749,0.260666659,-0.678339536,FLI1
LOC100131257,-1.150637043,5.164254688,3.840398597,0.000971269,0.260666659,-0.681530548,LOC100131257
DAAM1,-0.82088657,5.249152044,3.837096547,0.000978896,0.260666659,-0.687933773,DAAM1
IFIH1,-0.583377653,4.678855369,3.835003694,0.00098376,0.260666659,-0.691992095,IFIH1
HMGB2,-0.822890933,8.748600828,3.831867985,0.000991094,0.260666659,-0.698072558,HMGB2
CYLD,-0.706891384,6.832177297,3.830136893,0.000995166,0.260666659,-0.701429271,CYLD
CLTC,-0.334758783,3.800491399,3.829057926,0.000997712,0.260666659,-0.703521447,CLTC
HIVEP2,-0.961799167,6.111688291,3.824785598,0.001007859,0.260666659,-0.711805572,HIVEP2
FGFR1OP2,-0.57117562,4.596759712,3.814325612,0.001033134,0.261178854,-0.732086596,FGFR1OP2
ENPP7,0.212520295,3.290815082,-3.813780046,0.001034469,0.261178854,-0.733144357,ENPP7
RWDD2A,-0.539071856,4.293205803,3.789437601,0.001095827,0.269686961,-0.780335144,RWDD2A
TAF15,-1.134103661,7.30370323,3.785844311,0.001105185,0.269686961,-0.787300241,TAF15
KLHL3,-0.951829904,5.698389797,3.777360038,0.001127596,0.269686961,-0.803744776,KLHL3
YEATS4,-0.751041707,5.161712338,3.776828851,0.001129014,0.269686961,-0.804774291,YEATS4
FCHSD1,0.324610546,3.549585475,-3.769104797,0.001149833,0.269686961,-0.819743884,FCHSD1
CPNE8,-0.888661743,5.331925991,3.763006445,0.001166539,0.269686961,-0.83156181,CPNE8
BMPR1A,-0.338932761,3.662873057,3.761866073,0.00116969,0.269686961,-0.833771626,BMPR1A
RASA1,-0.688085686,5.492053184,3.759751434,0.001175554,0.269686961,-0.837869292,RASA1
IRF2BPL,-0.963058416,5.04341426,3.757219461,0.001182614,0.269686961,-0.842775505,IRF2BPL
ARHGAP21,-0.703864502,5.634061639,3.746171644,0.001213915,0.270933262,-0.864180964,ARHGAP21
PNRC2,-0.936526487,7.555948273,3.745730115,0.001215182,0.270933262,-0.865036371,PNRC2
CTTN,-0.423096369,3.57244614,3.740935628,0.001229034,0.270933262,-0.874324745,CTTN
MOB1B,-0.486611771,4.10781553,3.733546733,0.001250688,0.270933262,-0.888637999,MOB1B
OXR1,-0.545721459,4.661657325,3.73245511,0.001253919,0.270933262,-0.890752479,OXR1
ZSWIM1,-0.714875748,5.102832332,3.72882254,0.00126473,0.270933262,-0.897788537,ZSWIM1
SLC12A2,-0.403000737,3.71491295,3.719254051,0.001293651,0.27214526,-0.916320156,SLC12A2
TIMM10,-0.816351819,5.839082769,3.718469097,0.001296052,0.27214526,-0.917840276,TIMM10
VPS50,-0.541843517,4.247374315,3.71406099,0.00130962,0.27229815,-0.926376516,VPS50
SETDB2,-0.787783567,5.967051834,3.703755926,0.001341888,0.274958862,-0.946329612,SETDB2
SERPINB9,-0.29929457,3.328961419,3.701722808,0.001348346,0.274958862,-0.950265791,SERPINB9
RGPD3,0.16175553,3.204559038,-3.696467264,0.001365184,0.275741101,-0.960440005,RGPD3
ZNF680,-0.479436995,4.03135773,3.688560202,0.001390909,0.277969055,-0.97574541,ZNF680
RBM25,-0.878586798,6.863686904,3.684802081,0.001403303,0.277969055,-0.983019046,RBM25
SUCLG2,-0.631891742,5.304118752,3.675237036,0.001435342,0.277969055,-1.001529207,SUCLG2
HMGCS1,-0.963737056,6.215520639,3.675188511,0.001435507,0.277969055,-1.001623103,HMGCS1
AGA,-0.692137117,4.675396517,3.672893599,0.001443302,0.277969055,-1.006063645,AGA
ZFAND1,-0.52228885,4.890185574,3.664362231,0.001472648,0.277969055,-1.022569548,ZFAND1
ZNF573,-0.428279721,3.941115529,3.660501184,0.001486122,0.277969055,-1.030038636,ZNF573
PARP9,-0.838490452,5.859481894,3.654821129,0.001506166,0.277969055,-1.041025387,PARP9
RPS27A,-0.730790194,10.01672514,3.654618022,0.001506887,0.277969055,-1.041418225,RPS27A
NLK,-0.293071293,3.61102515,3.654202747,0.001508364,0.277969055,-1.04222142,NLK
RRN3,-0.715279122,5.393329012,3.648159411,0.001530014,0.277969055,-1.053909139,RRN3
AMY2A,-0.544812206,4.74914184,3.643796778,0.001545833,0.277969055,-1.062345385,AMY2A
TP53INP1,-0.76228304,7.509796315,3.637483314,0.001569012,0.277969055,-1.074552506,TP53INP1
DUSP4,0.586534616,3.73471597,-3.631960475,0.00158957,0.277969055,-1.085229416,DUSP4
MPHOSPH8,-0.931041467,8.139408109,3.630241824,0.001596021,0.277969055,-1.088551664,MPHOSPH8
ABHD17A,0.80525575,4.969193162,-3.627296822,0.001607136,0.277969055,-1.094244183,ABHD17A
ACTR3,-0.931149146,6.407034558,3.626576083,0.001609868,0.277969055,-1.095637267,ACTR3
DEFB130A,0.169763796,3.199612754,-3.625577808,0.001613659,0.277969055,-1.097566744,DEFB130A
PTMA,1.169961263,6.174356586,-3.617613517,0.001644223,0.277969055,-1.112958445,PTMA
MTURN,-0.568167881,4.897421995,3.617208328,0.001645793,0.277969055,-1.113741424,MTURN
BBS7,-0.326979973,3.850814089,3.615749918,0.001651457,0.277969055,-1.116559556,BBS7
SNORD68,0.439020693,4.045531675,-3.600317415,0.001712579,0.278923754,-1.1463735,SNORD68
LRRN3,-1.280921482,5.198171513,3.595581605,0.00173178,0.278923754,-1.155520034,LRRN3
MED13L,-0.593759143,4.580361623,3.587879814,0.001763459,0.278923754,-1.170392294,MED13L
FCGBP,-0.945671357,5.634940696,3.586654854,0.001768549,0.278923754,-1.172757403,FCGBP
CENPF,-0.959471381,4.99856672,3.580831505,0.00179295,0.278923754,-1.183999746,CENPF
LTBP3,0.47909782,4.114629963,-3.579612445,0.001798099,0.278923754,-1.186352973,LTBP3
GPT,0.203782077,3.207141849,-3.578233992,0.00180394,0.278923754,-1.189013781,GPT
GPR89B,0.451911771,4.320809556,-3.577409676,0.001807442,0.278923754,-1.190604893,GPR89B
SNHG5,-1.193438833,9.188052335,3.577393728,0.001807509,0.278923754,-1.190635677,SNHG5
BCDIN3D,-0.753880597,4.931525455,3.569278587,0.001842343,0.278923754,-1.206297556,BCDIN3D
IFI27,-0.983223046,4.864311179,3.567906792,0.001848296,0.278923754,-1.208944676,IFI27
AUTS2,-0.610973593,4.431502714,3.566295529,0.001855313,0.278923754,-1.212053745,AUTS2
YAF2,-0.461570125,4.303146955,3.565621033,0.001858258,0.278923754,-1.213355197,YAF2
HDAC4,-0.532070923,4.303838772,3.564403491,0.001863585,0.278923754,-1.215704394,HDAC4
G3BP1,-0.762791154,4.763198355,3.559096334,0.001886985,0.278923754,-1.225943279,G3BP1
ARMC1,-0.563313831,4.857338561,3.558923059,0.001887754,0.278923754,-1.226277542,ARMC1
HIST2H3C,0.166916974,3.146080945,-3.557514285,0.001894016,0.278923754,-1.228995127,HIST2H3C
ASCC3,-0.343130956,3.945109657,3.556687669,0.0018977,0.278923754,-1.230589647,ASCC3
GID4,-0.285550974,3.8971941,3.554604977,0.001907014,0.278923754,-1.234606913,GID4
UQCC1,-0.863164501,5.767138927,3.550811991,0.001924091,0.279493942,-1.241922433,UQCC1
NOC4L,0.225546837,3.412359345,-3.54166014,0.001965917,0.28060101,-1.259569796,NOC4L
ADCY3,-0.80584257,7.521704708,3.5357013,0.00199363,0.28060101,-1.271057194,ADCY3
LLGL1,-1.079224792,5.607887248,3.535324622,0.001995395,0.28060101,-1.271783274,LLGL1
RAB40B,-0.495605182,4.203620855,3.534344268,0.001999995,0.28060101,-1.273672942,RAB40B
DIPK1A,-0.369800333,4.23869139,3.533347657,0.002004682,0.28060101,-1.27559388,DIPK1A
MIER3,-0.154316707,3.176224477,3.529493966,0.002022908,0.28060101,-1.283021128,MIER3
UBE4B,-0.707635115,6.235138273,3.529194989,0.002024328,0.28060101,-1.283597307,UBE4B
PARN,-1.007592305,7.322939299,3.526251813,0.002038367,0.280712272,-1.289268976,PARN
KIZ,-0.572809899,4.48782944,3.521924603,0.002059182,0.281749206,-1.297606682,KIZ
SLC38A2,-0.814189727,5.828530405,3.518200457,0.002077263,0.282401215,-1.304781361,SLC38A2
RFX7,-0.639164278,6.056384453,3.505120046,0.002142015,0.283734093,-1.329973406,RFX7
ZCCHC8,0.423563353,4.151861948,-3.503789034,0.002148714,0.283734093,-1.332536162,ZCCHC8
BEX4,-0.914446936,7.690879146,3.503338791,0.002150985,0.283734093,-1.333403041,BEX4
GCNA,-0.563169872,4.294198056,3.502318014,0.002156142,0.283734093,-1.335368344,GCNA
RAD21,-0.776493663,5.59230917,3.502231927,0.002156577,0.283734093,-1.335534084,RAD21
RPL9,-1.328165978,8.406967586,3.50010983,0.002167339,0.283734093,-1.339619502,RPL9
SMARCA5,-0.435313201,4.165716587,3.493806636,0.002199617,0.284718281,-1.351752319,SMARCA5
ZBTB49,0.50462218,4.541623114,-3.489356887,0.002222687,0.284718281,-1.360315712,ZBTB49
UGDH,-0.543891,4.235678007,3.488464636,0.002227341,0.284718281,-1.36203264,UGDH
SCN8A,0.165944728,3.19970705,-3.488098906,0.002229252,0.284718281,-1.362736383,SCN8A
CD34,-0.174926345,3.300871446,3.484359167,0.002248882,0.284718281,-1.369931868,CD34
ZNF146,-0.740640986,5.522995293,3.48193524,0.002261695,0.284718281,-1.374595076,ZNF146
ZXDC,-0.862835159,5.365091601,3.476717396,0.002289522,0.284718281,-1.384631746,ZXDC
RPL21P28,-1.068914399,8.219965754,3.469765762,0.002327118,0.284718281,-1.398000092,RPL21P28
VPS36,-0.531684662,4.829392836,3.466510381,0.002344932,0.284718281,-1.404259035,VPS36
CHD1,-0.73226146,5.748107879,3.465325347,0.00235145,0.284718281,-1.406537222,CHD1
NSUN5P2,0.261758517,3.719292124,-3.464034137,0.002358572,0.284718281,-1.409019402,NSUN5P2
LTA,-0.812842302,5.895783275,3.463854923,0.002359562,0.284718281,-1.409363906,LTA
KAT6B,0.253060098,3.560108925,-3.461913371,0.002370315,0.284718281,-1.413096,KAT6B
UMPS,0.192859538,3.352041926,-3.458794062,0.002387692,0.284718281,-1.419091359,UMPS
PRKAR1A,-1.57856877,6.455872885,3.458407571,0.002389854,0.284718281,-1.419834146,PRKAR1A
RIC8B,-0.555057396,4.777820498,3.451605122,0.002428218,0.284718281,-1.432905566,RIC8B
RAB11A,-0.753403206,7.715530322,3.451268843,0.00243013,0.284718281,-1.433551652,RAB11A
KLRG1,0.644151715,5.017233741,-3.447995291,0.002448822,0.284718281,-1.439840564,KLRG1
RAB35,-1.274934088,7.664139491,3.445904826,0.002460831,0.284718281,-1.443856142,RAB35
PBX2,-1.493527743,6.661171894,3.443830161,0.002472807,0.284718281,-1.447841005,PBX2
TIPRL,-0.609544942,4.33391761,3.440199396,0.002493904,0.284718281,-1.454813827,TIPRL
VSIG1,-0.283293145,3.603765421,3.439969667,0.002495245,0.284718281,-1.45525498,VSIG1
DCUN1D4,-0.484611497,4.841969967,3.437554503,0.002509383,0.284718281,-1.459892588,DCUN1D4
NIPA1,-0.794228454,5.450795298,3.437302249,0.002510864,0.284718281,-1.460376938,NIPA1
FAM185A,0.239678209,3.408302763,-3.43602247,0.002518392,0.284718281,-1.462834142,FAM185A
NGB,0.177283715,3.301669019,-3.435087161,0.002523908,0.284718281,-1.464629868,NGB
CREBL2,-0.365268248,3.895721061,3.425327873,0.002582172,0.288738328,-1.483362417,CREBL2
SNORD103C,-0.497845175,3.506590238,3.424566339,0.002586773,0.288738328,-1.484823795,SNORD103C
GCLC,-0.480330263,4.716579339,3.417853976,0.002627681,0.290032109,-1.497702535,GCLC
RGS17,0.204730153,3.373485567,-3.415553041,0.002641849,0.290032109,-1.50211631,RGS17
ZNF280C,0.30726321,3.7795082,-3.413168994,0.002656608,0.290032109,-1.506689008,ZNF280C
TRA2B,-0.864541852,7.153692181,3.410042735,0.002676084,0.290032109,-1.512684509,TRA2B
COX10,-0.770608262,6.305523845,3.409716608,0.002678124,0.290032109,-1.5133099,COX10
SLC35A1,-0.769135654,6.296997648,3.406926051,0.00269564,0.290032109,-1.518660751,SLC35A1
RSL24D1,-0.595312858,8.375014176,3.40438298,0.0027117,0.290032109,-1.523536423,RSL24D1
SLC39A4,0.246772706,3.570918028,-3.401286573,0.002731381,0.290032109,-1.529472154,SLC39A4
TMED7,-0.355628007,4.039105812,3.400873366,0.002734018,0.290032109,-1.530264195,TMED7
PDSS2,-0.815684319,5.43182588,3.40034594,0.002737388,0.290032109,-1.531275146,PDSS2
PKIA,-0.627315053,5.121027877,3.398565048,0.002748795,0.290032109,-1.534688504,PKIA
PLEKHG2,0.273877872,3.761054973,-3.386741792,0.002825718,0.29486523,-1.557341962,PLEKHG2
NXT2,-0.476174019,4.104837338,3.383345524,0.002848202,0.29486523,-1.563846748,NXT2
FAM102A,-0.840578332,7.693322759,3.380639572,0.00286624,0.29486523,-1.569028581,FAM102A
AMMECR1L,-0.402456271,4.280455482,3.380456102,0.002867467,0.29486523,-1.569379895,AMMECR1L
ARMC10,-0.77267128,5.02944272,3.379339176,0.002874949,0.29486523,-1.571518552,ARMC10
FAM120AOS,-0.777984369,5.879181421,3.374729862,0.002906026,0.29486523,-1.580343022,FAM120AOS
ATP8B2,-0.562261758,8.830041646,3.373875223,0.002911824,0.29486523,-1.581978985,ATP8B2
COPS2,-0.606931477,4.537941328,3.369462989,0.002941938,0.29486523,-1.590423787,COPS2
R3HDM1,-0.426547998,4.066430486,3.367073299,0.002958375,0.29486523,-1.59499672,R3HDM1
IL27,0.150925628,3.184412177,-3.365618589,0.002968425,0.29486523,-1.597780184,IL27
HILPDA,-0.477633663,3.915086679,3.365192574,0.002971375,0.29486523,-1.598595287,HILPDA
PARP15,-0.701873064,4.780002406,3.363047723,0.002986268,0.29486523,-1.60269879,PARP15
THY1,0.167289687,3.179721612,-3.361481436,0.00299719,0.29486523,-1.605695095,THY1
TRAPPC11,-0.420289026,4.637849047,3.359182983,0.003013288,0.29486523,-1.610091578,TRAPPC11
HLA-B,0.560476495,10.04364824,-3.359034255,0.003014333,0.29486523,-1.610376047,HLA-B
NMD3,-0.406419505,4.114081869,3.358646581,0.003017057,0.29486523,-1.611117529,NMD3
NCALD,-0.779646156,5.653209897,3.354576635,0.003045806,0.296207537,-1.618900963,NCALD
PIAS2,-0.497000556,4.162718111,3.352290554,0.003062071,0.296207537,-1.623272148,PIAS2
ELOVL5,-0.647863129,5.53774719,3.350434277,0.003075341,0.296207537,-1.626821108,ELOVL5
WSB2,-0.817476561,5.029604522,3.342819913,0.003130363,0.296207537,-1.641374987,WSB2
ZBTB2,-0.341618922,3.839776319,3.338786733,0.003159896,0.296207537,-1.649081396,ZBTB2
F11R,-0.488087623,4.232978125,3.33658947,0.0031761,0.296207537,-1.653279088,F11R
AP5B1,0.398928614,3.82532249,-3.336502285,0.003176745,0.296207537,-1.653445636,AP5B1
NCOA7,-0.677616635,6.651998503,3.334813968,0.003189253,0.296207537,-1.656670658,NCOA7
PRRT3,-0.554936307,4.111223314,3.333770054,0.003197011,0.296207537,-1.658664587,PRRT3
C2CD5,-0.62374551,6.265396769,3.331790236,0.003211775,0.296207537,-1.662445816,C2CD5
ADAT3,0.245146329,3.668530447,-3.331430481,0.003214465,0.296207537,-1.663132862,ADAT3
RFPL4A,0.152120301,3.21641267,-3.329402462,0.00322967,0.296207537,-1.667005627,RFPL4A
SFPQ,-0.418985624,4.432111611,3.325796706,0.003256878,0.296207537,-1.673890171,SFPQ
PSMA3-AS1,-0.764131806,7.045886292,3.324894473,0.003263721,0.296207537,-1.675612599,PSMA3-AS1
SUMO1,-0.563302225,4.20567829,3.323115378,0.003277255,0.296207537,-1.679008758,SUMO1
SLCO2A1,0.159149782,3.141590025,-3.319024977,0.003308582,0.296207537,-1.686815691,SLCO2A1
OFD1,-0.406171536,4.409089393,3.318880905,0.00330969,0.296207537,-1.687090632,OFD1
TTC22,0.163044831,3.311577113,-3.318724146,0.003310897,0.296207537,-1.687389782,TTC22
TM9SF3,-0.598298122,5.235935635,3.318474698,0.003312818,0.296207537,-1.68786581,TM9SF3
ERLIN2,-0.300214404,3.558684091,3.316849731,0.003325359,0.296207537,-1.6909666,ERLIN2
LIMS3,0.517187137,4.3881659,-3.314332918,0.003344875,0.296207537,-1.695768643,LIMS3
LOC728743,-0.572391102,4.85739739,3.310024566,0.003378544,0.296207537,-1.703987255,LOC728743
GXYLT2,0.14312822,3.18701447,-3.309667907,0.003381346,0.296207537,-1.704667524,GXYLT2
ATMIN,-0.381237956,3.849389574,3.308866733,0.003387648,0.296207537,-1.706195579,ATMIN
KIF19,0.176989007,3.347182332,-3.308562572,0.003390043,0.296207537,-1.706775676,KIF19
PDK1,-0.716972833,4.574516499,3.306355334,0.003407478,0.296207537,-1.710985019,PDK1
DSC3,0.191117619,3.414617874,-3.306302641,0.003407895,0.296207537,-1.711085499,DSC3
UBE2Q1,-0.477735237,4.463502349,3.304327498,0.003423572,0.296355591,-1.714851736,UBE2Q1
SLC27A1,0.21806216,3.488147445,-3.297502109,0.003478291,0.299868232,-1.727863042,SLC27A1
GTF3C1,0.363615497,3.969776479,-3.290307839,0.00353689,0.303685651,-1.741571667,GTF3C1
PRKN,0.137178871,3.174255866,-3.287015544,0.003564026,0.304242232,-1.747843077,PRKN
ANKRD37,0.281353221,3.607691752,-3.283549316,0.003592816,0.304242232,-1.754444414,ANKRD37
SNX16,-0.272504307,3.535410695,3.282991102,0.003597474,0.304242232,-1.755507382,SNX16
RNASEH2B,-0.71219789,5.086536029,3.280616841,0.00361735,0.304242232,-1.760028108,RNASEH2B
UBASH3B,-0.507623831,4.930490714,3.277833592,0.003640786,0.304242232,-1.765326708,UBASH3B
RPS7,-0.844792684,8.436033747,3.272772991,0.003683778,0.304242232,-1.774958403,RPS7
CISD2,-0.485343211,4.776792627,3.271470633,0.003694922,0.304242232,-1.777436638,CISD2
POLR3F,-0.769498368,5.482401861,3.264316005,0.003756731,0.304242232,-1.791047347,POLR3F
CAMK4,-0.414640909,4.615179313,3.263807502,0.003761162,0.304242232,-1.792014465,CAMK4
ABLIM3,-0.188664271,3.297425839,3.263783243,0.003761374,0.304242232,-1.792060601,ABLIM3
ASNS,-0.664208865,5.203036354,3.263145042,0.003766942,0.304242232,-1.793274344,ASNS
LUC7L3,-0.905109165,6.558101956,3.259530884,0.003798631,0.304242232,-1.800146854,LUC7L3
PCDHA8,0.142550096,3.164232582,-3.259097152,0.003802451,0.304242232,-1.800971507,PCDHA8
RPIA,-0.735459261,7.255395756,3.259021778,0.003803115,0.304242232,-1.801114814,RPIA
JAKMIP2,-0.244671137,3.412704717,3.25807368,0.003811481,0.304242232,-1.80291734,JAKMIP2
SAXO2,-0.171325599,3.219412669,3.255845949,0.003831207,0.304242232,-1.807152266,SAXO2
ARFGEF2,0.217702877,3.420134407,-3.255702174,0.003832484,0.304242232,-1.807425563,ARFGEF2
TMEM198B,-0.528350767,4.440080236,3.255699118,0.003832511,0.304242232,-1.807431371,TMEM198B
GOLGA8CP,-0.859736924,5.304887643,3.255485647,0.003834407,0.304242232,-1.807837144,GOLGA8CP
MPST,0.267228002,3.708779502,-3.25496236,0.003839059,0.304242232,-1.8088318,MPST
UBE3A,-0.693274393,6.594652925,3.254336434,0.00384463,0.304242232,-1.810021506,UBE3A
ZZZ3,-0.304722915,4.061165438,3.250725247,0.003876928,0.304424782,-1.816884369,ZZZ3
DENND6A,-0.645020828,5.529503315,3.250419014,0.003879679,0.304424782,-1.817466274,DENND6A
SACM1L,-0.527839301,4.824962316,3.249272074,0.00389,0.304424782,-1.819645579,SACM1L
TADA2A,-0.298077766,3.678914848,3.245157379,0.003927245,0.305116177,-1.827462546,TADA2A
CYP4V2,-0.780771523,5.557467104,3.238731795,0.003986104,0.305116177,-1.839665317,CYP4V2
NEDD9,-0.519139941,4.415895603,3.238430889,0.003988881,0.305116177,-1.840236635,NEDD9
SNORA77,0.301213737,3.585033289,-3.237154734,0.004000681,0.305116177,-1.842659483,SNORA77
KIAA2026,0.471545054,4.299080713,-3.23664865,0.004005369,0.305116177,-1.843620253,KIAA2026
L3HYPDH,0.179984402,3.33650694,-3.234876059,0.004021834,0.305116177,-1.846985143,L3HYPDH
RPL23,-0.934023337,8.575576053,3.234603358,0.004024373,0.305116177,-1.847502772,RPL23
PP7080,-0.353736023,4.20957786,3.234209614,0.004028041,0.305116177,-1.848250143,PP7080
