,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOLS
APOL2,-0.315479666,4.765866629,1.818036741,0.083563266,0.571093457,-4.279605191,APOL2
RNASET2,-0.257531832,9.7209502,1.817747542,0.08360897,0.571093457,-4.28002072,RNASET2
KIF5B,-0.270731292,4.335551163,1.817291263,0.083681123,0.571093457,-4.280676218,KIF5B
ANG,0.230636929,3.978630807,-1.817265488,0.0836852,0.571093457,-4.280713245,ANG
UBA1,0.399051062,6.594938762,-1.817234712,0.083690069,0.571093457,-4.280757453,UBA1
ADGRG1,0.412735087,4.535342239,-1.81716476,0.083701137,0.571093457,-4.280857935,ADGRG1
DUS4L,-0.13803442,3.624493505,1.817114588,0.083709075,0.571093457,-4.280930003,DUS4L
WDR41,-0.262218836,3.889542258,1.817046806,0.083719802,0.571093457,-4.281027365,WDR41
USP54,0.117560637,3.326740878,-1.816839067,0.083752683,0.571134053,-4.28132574,USP54
EFNA2,0.108595667,3.197747505,-1.816468629,0.083811345,0.57116467,-4.281857744,EFNA2
ULK3,0.180311886,3.608908228,-1.816305628,0.083837169,0.57116467,-4.282091815,ULK3
PPP3CB,-0.331808163,6.366917023,1.815819524,0.083914222,0.57116467,-4.282789774,PPP3CB
ITGB1BP1,-0.44503364,8.27220432,1.815726202,0.083929022,0.57116467,-4.282923754,ITGB1BP1
ARHGEF4,0.102376855,3.247286021,-1.815615355,0.083946604,0.57116467,-4.283082887,ARHGEF4
NPIPB13,0.443019294,8.031068632,-1.815595792,0.083949707,0.57116467,-4.283110971,NPIPB13
BAHD1,-0.198092648,4.166841649,1.815006573,0.084043222,0.57116467,-4.283956741,BAHD1
SGTA,0.216164127,3.935582262,-1.814927369,0.084055799,0.57116467,-4.284070417,SGTA
CAPRIN2,0.226899173,4.106556513,-1.814763818,0.084081776,0.57116467,-4.284305139,CAPRIN2
OR6C65,-0.093057005,3.213623051,1.814716714,0.084089258,0.57116467,-4.284372738,OR6C65
TYW3,-0.341973226,4.368956799,1.814147708,0.084179694,0.57116467,-4.285189224,TYW3
CHRD,-0.095621917,3.194054078,1.814144338,0.08418023,0.57116467,-4.285194059,CHRD
CENPP,0.156059987,3.437396238,-1.814098176,0.084187571,0.57116467,-4.285260291,CENPP
SLC41A1,0.127299282,3.409262917,-1.814070866,0.084191914,0.57116467,-4.285299473,SLC41A1
MPND,0.149782441,3.63551568,-1.81399455,0.084204051,0.57116467,-4.285408965,MPND
C3orf18,-0.196918053,4.144279003,1.813937013,0.084213203,0.57116467,-4.285491512,C3orf18
VRK3,0.38815305,5.884311546,-1.813780199,0.08423815,0.57116467,-4.285716481,VRK3
OR2M3,0.104292783,3.254587146,-1.813431935,0.084293577,0.57116467,-4.28621606,OR2M3
TCF15,0.093200305,3.238868682,-1.813420354,0.08429542,0.57116467,-4.286232672,TCF15
PRAMEF5,-0.117818103,3.330014313,1.813417943,0.084295804,0.57116467,-4.28623613,PRAMEF5
GOLGA6L5P,0.126548369,3.21049524,-1.812816244,0.084391643,0.571387815,-4.287099095,GOLGA6L5P
RPL36A,-0.192382342,10.43935395,1.812792717,0.084395392,0.571387815,-4.287132834,RPL36A
TMEM60,-0.378503701,5.998556697,1.812703799,0.084409564,0.571387815,-4.287260344,TMEM60
NEURL3,0.099907152,3.386864101,-1.812095857,0.08450651,0.571861541,-4.288132025,NEURL3
PPP1R18,0.439270124,6.35392568,-1.811248163,0.084641851,0.572342914,-4.289347131,PPP1R18
GPT2,-0.33974232,4.105773243,1.811172904,0.084653876,0.572342914,-4.289454989,GPT2
CD200,0.104620078,3.411071899,-1.811143301,0.084658606,0.572342914,-4.289497414,CD200
SHTN1,-0.325458288,4.036936698,1.810503435,0.084760908,0.572851923,-4.290414316,SHTN1
RPS27L,-0.38480401,8.108548227,1.81031262,0.084791436,0.572875687,-4.290687704,RPS27L
TOMM34,0.314266705,5.218777216,-1.809770361,0.084878244,0.573060842,-4.291464507,TOMM34
TMEM61,0.088439588,3.26859911,-1.809768956,0.084878469,0.573060842,-4.291466519,TMEM61
ATG9B,0.091080337,3.235983473,-1.809635131,0.084899904,0.573060842,-4.291658203,ATG9B
CHODL,0.112769644,3.260790105,-1.808870813,0.085022418,0.573548131,-4.292752781,CHODL
FMNL1,0.113137161,3.459918161,-1.80870169,0.085049548,0.573548131,-4.292994939,FMNL1
EFCAB5,-0.092197913,3.227689847,1.808678747,0.085053229,0.573548131,-4.29302779,EFCAB5
3-Mar,-0.253303018,4.122950202,1.808334634,0.085108454,0.573738113,-4.293520453,3-Mar
SCARNA7,-0.222029715,3.719660649,1.808093744,0.085147133,0.573816458,-4.293865294,SCARNA7
ZNF425,0.119703744,3.307568849,-1.807822533,0.085190698,0.573909751,-4.294253502,ZNF425
SLC5A3,0.244063575,3.947806366,-1.807670684,0.085215098,0.573909751,-4.29447084,SLC5A3
TCTEX1D4,0.092276966,3.282540678,-1.807473104,0.085246856,0.573941371,-4.294753611,TCTEX1D4
SNORD113-1,0.095516251,3.322491117,-1.807106998,0.085305729,0.574148639,-4.295277517,SNORD113-1
OR10K2,0.083219998,3.223600565,-1.806945029,0.085331786,0.574148639,-4.295509275,OR10K2
WDR25,0.199285934,4.06681396,-1.806460483,0.085409779,0.574361477,-4.296202515,WDR25
SPAG11A,0.078189674,3.158977847,-1.806412023,0.085417583,0.574361477,-4.296271839,SPAG11A
WAC,-0.379361965,6.657863338,1.806171267,0.085456362,0.574374445,-4.296616235,WAC
ZNF429,-0.093771465,3.148488897,1.806063794,0.085473677,0.574374445,-4.296769962,ZNF429
ZBTB20,0.133732526,3.329477414,-1.805276193,0.085600666,0.574999533,-4.297896336,ZBTB20
EMD,-0.465717479,8.023051941,1.8051369,0.085623141,0.574999533,-4.298095508,EMD
MRM2,-0.268574939,5.121028453,1.804339576,0.085751893,0.574999533,-4.299235379,MRM2
IRAK3,-0.763883598,5.0961538,1.804263004,0.085764267,0.574999533,-4.29934483,IRAK3
USP18,-0.561212405,3.657160376,1.804148634,0.085782752,0.574999533,-4.299508302,USP18
USP25,-0.096252768,3.270431837,1.80402939,0.085802028,0.574999533,-4.299678733,USP25
LINC00525,0.099158685,3.220337316,-1.803963257,0.08581272,0.574999533,-4.299773251,LINC00525
TCEANC,0.087728591,3.169390514,-1.803888805,0.085824758,0.574999533,-4.299879657,TCEANC
TPI1,0.524552037,6.834799571,-1.803846383,0.085831618,0.574999533,-4.299940284,TPI1
ZBTB1,-0.101857631,3.260501495,1.803808026,0.085837822,0.574999533,-4.2999951,ZBTB1
LOC100289495,0.085997757,3.172090116,-1.803585993,0.085873736,0.575058479,-4.300312395,LOC100289495
LRRN2,-0.113368564,3.306219358,1.802582632,0.086036198,0.575739098,-4.301745909,LRRN2
SPATA33,0.106040775,3.31242063,-1.802338893,0.086075704,0.575739098,-4.302094058,SPATA33
TMEM183B,-0.329284868,7.358902248,1.802329303,0.086077258,0.575739098,-4.302107756,TMEM183B
PFAS,-0.192924098,4.011656501,1.801855421,0.086154112,0.575739098,-4.302784537,PFAS
MASTL,0.182415689,3.584918547,-1.80162035,0.086192258,0.575739098,-4.303120212,MASTL
ORAI1,0.298868005,4.639606828,-1.80159868,0.086195775,0.575739098,-4.303151154,ORAI1
MDM4,-0.408685631,9.913053768,1.801500677,0.086211684,0.575739098,-4.30329109,MDM4
TULP4,-0.274253536,4.958384051,1.801430409,0.086223091,0.575739098,-4.30339142,TULP4
SKP1,-0.265540188,4.93814685,1.80141941,0.086224877,0.575739098,-4.303407123,SKP1
SH3TC1,0.383015916,4.489184251,-1.801284113,0.086246846,0.575739098,-4.303600296,SH3TC1
PACSIN1,0.248572309,3.695073217,-1.800969377,0.08629797,0.575781658,-4.304049622,PACSIN1
GAS2L2,0.115394276,3.23988503,-1.800910604,0.08630752,0.575781658,-4.304133523,GAS2L2
LINC01102,-0.132963827,3.50706666,1.800447088,0.086382867,0.576103094,-4.304795139,LINC01102
MIMT1,0.092352966,3.27591482,-1.799742762,0.086497467,0.576686038,-4.305800259,MIMT1
WFDC21P,0.12764646,3.408221977,-1.799421276,0.08654982,0.57673225,-4.306258948,WFDC21P
KRT78,0.110822514,3.297129784,-1.799366228,0.086558787,0.57673225,-4.306337485,KRT78
LIM2,0.093377265,3.167187548,-1.799069462,0.086607143,0.576754203,-4.306760846,LIM2
MAVS,0.142359866,3.806627784,-1.799012224,0.086616472,0.576754203,-4.306842495,MAVS
TMED8,0.124478585,3.354056403,-1.798830652,0.086646072,0.576770211,-4.307101492,TMED8
PIDD1,0.306277918,4.816749603,-1.798565287,0.086689348,0.576793563,-4.30747998,PIDD1
NDUFAF2,-0.301424266,4.948982274,1.798436988,0.086710278,0.576793563,-4.307662959,NDUFAF2
SPATA31C1,0.118474396,3.53902444,-1.798157983,0.086755808,0.576793563,-4.30806084,SPATA31C1
TREML4,0.078861607,3.127159425,-1.798142298,0.086758368,0.576793563,-4.308083207,TREML4
LINC00628,0.095207701,3.320589474,-1.797654961,0.086837947,0.577141702,-4.308778078,LINC00628
MED7,-0.145656763,3.728539182,1.797220425,0.086908957,0.57734594,-4.309397552,MED7
RGPD5,-0.175888016,3.503390582,1.79708006,0.086931905,0.57734594,-4.309597635,RGPD5
ZFP91,-0.345960918,6.941428999,1.796566127,0.087015974,0.57734594,-4.310330123,ZFP91
LGALS1,0.567008546,8.251651216,-1.796259363,0.087066188,0.57734594,-4.310767271,LGALS1
DNAJC28,0.090733255,3.287050437,-1.795980995,0.087111776,0.57734594,-4.311163909,DNAJC28
GABRR1,0.093537918,3.237337579,-1.795777232,0.087145159,0.57734594,-4.311454218,GABRR1
SLC16A9,-0.093055035,3.181869295,1.795657522,0.087164776,0.57734594,-4.311624762,SLC16A9
NCOA3,-0.313847471,5.758368005,1.795549015,0.087182561,0.57734594,-4.311779341,NCOA3
ULK1,-0.363525157,7.928228531,1.795535749,0.087184735,0.57734594,-4.311798238,ULK1
OR2AE1,0.078641576,3.124862346,-1.795399046,0.087207147,0.57734594,-4.311992973,OR2AE1
THRSP,0.123506678,3.19825606,-1.79493435,0.087283367,0.57734594,-4.312654861,THRSP
ALG11,0.096786785,3.21579336,-1.794527144,0.087350205,0.57734594,-4.313234763,ALG11
STXBP2,0.148661102,3.809702005,-1.794049372,0.087428682,0.57734594,-4.313915043,STXBP2
RRBP1,-0.599058081,6.100415098,1.794026733,0.087432402,0.57734594,-4.313947276,RRBP1
ZNF398,-0.1966806,3.981538187,1.793640204,0.087495939,0.57734594,-4.314497541,ZNF398
MCM3,-0.343142037,9.093793966,1.793631063,0.087497442,0.57734594,-4.314510552,MCM3
PRMT7,0.155812508,3.580327513,-1.793572387,0.087507091,0.57734594,-4.314594077,PRMT7
TMEM41A,0.155883687,3.577635853,-1.793371975,0.087540054,0.57734594,-4.314879344,TMEM41A
TIMM8B,-0.259987939,4.160863975,1.793293878,0.087552902,0.57734594,-4.314990503,TIMM8B
BMP6,-0.177290932,3.460617585,1.793273018,0.087556333,0.57734594,-4.315020192,BMP6
TXNL4B,0.127034807,3.581399969,-1.793253768,0.087559501,0.57734594,-4.315047591,TXNL4B
MYO10,0.09666697,3.281438895,-1.793193511,0.087569415,0.57734594,-4.315133352,MYO10
CMC2,-0.352827125,7.657937652,1.793026853,0.087596843,0.57734594,-4.315370542,CMC2
HLA-DRA,0.540758891,8.452801684,-1.792840924,0.08762745,0.57734594,-4.315635138,HLA-DRA
CTDNEP1,0.262302506,4.525416221,-1.792739849,0.087644093,0.57734594,-4.315778971,CTDNEP1
ATG12,-0.345115332,5.704079346,1.792736924,0.087644574,0.57734594,-4.315783134,ATG12
RNASE11,-0.082597867,3.234530946,1.79273691,0.087644577,0.57734594,-4.315783154,RNASE11
BAX,0.567808775,6.165657073,-1.79266767,0.087655979,0.57734594,-4.315881681,BAX
RBMS3,-0.087910126,3.223157754,1.792654523,0.087658144,0.57734594,-4.315900388,RBMS3
ANKS6,0.088705771,3.21964335,-1.792028213,0.087761346,0.57749732,-4.31679149,ANKS6
SNORA51,0.098714073,3.239530309,-1.792021538,0.087762447,0.57749732,-4.316800986,SNORA51
CDH23,-0.23306867,3.885135933,1.791906286,0.087781449,0.57749732,-4.31696494,CDH23
DIDO1,0.308277952,4.74055372,-1.791854136,0.087790049,0.57749732,-4.317039126,DIDO1
FNDC3A,-0.112537094,3.472864604,1.791561522,0.087838315,0.577538687,-4.317455349,FNDC3A
FAM209A,-0.182523493,3.71716201,1.79139179,0.087866322,0.577538687,-4.317696758,FAM209A
LINC01300,-0.168716036,3.925014483,1.791320828,0.087878034,0.577538687,-4.317797683,LINC01300
CDC25B,-0.202206243,9.8767299,1.789947416,0.088104971,0.578725884,-4.319750449,CDC25B
OR13D1,0.086523216,3.165177578,-1.789760719,0.088135859,0.578725884,-4.32001582,OR13D1
MSTO1,-0.24172972,4.000661166,1.789666108,0.088151515,0.578725884,-4.320150292,MSTO1
HMGCR,-0.343333873,5.322779321,1.789562185,0.088168715,0.578725884,-4.320297995,HMGCR
CRNN,0.085978698,3.2383647,-1.789401707,0.088195282,0.578725884,-4.320526066,CRNN
POGLUT1,-0.351156813,6.435155345,1.789237904,0.088222406,0.578725884,-4.320758847,POGLUT1
RAE1,0.309099883,4.675926717,-1.788901613,0.088278114,0.57891226,-4.321236705,RAE1
ZP2,0.107521805,3.167697068,-1.788625835,0.088323821,0.579032954,-4.32162853,ZP2
RBM45,-0.2729361,5.347904377,1.788459085,0.088351468,0.57903521,-4.321865428,RBM45
MIR125B2,-0.132379172,3.668814811,1.788289321,0.088379623,0.579040789,-4.322106592,MIR125B2
OR2M2,0.091336182,3.20149038,-1.788033345,0.088422089,0.579138334,-4.322470196,OR2M2
TRIAP1,-0.402937338,5.613692646,1.787797433,0.088461243,0.579138334,-4.322805268,TRIAP1
FOXJ2,-0.374424838,6.698235302,1.787689519,0.088479158,0.579138334,-4.322958532,FOXJ2
LOC642929,0.114616142,3.240667494,-1.7872251,0.088556293,0.579138334,-4.32361804,LOC642929
SPANXC,0.101585474,3.214580733,-1.787215488,0.088557891,0.579138334,-4.323631688,SPANXC
HSPH1,0.398999855,5.074986919,-1.787212686,0.088558356,0.579138334,-4.323635667,HSPH1
RERG,0.096801635,3.158945029,-1.786773442,0.088631365,0.579297734,-4.324259312,RERG
B3GALT4,0.270698999,4.871942095,-1.786737386,0.088637361,0.579297734,-4.3243105,B3GALT4
CTCF,0.173477834,3.711157271,-1.78626775,0.088715484,0.579391527,-4.324977168,CTCF
PRCD,0.082103542,3.210209874,-1.785973379,0.088764482,0.579391527,-4.325394978,PRCD
EPHA7,0.076156546,3.191746361,-1.785907733,0.088775412,0.579391527,-4.325488145,EPHA7
REEP4,0.152173513,3.618614291,-1.785761177,0.088799818,0.579391527,-4.325696132,REEP4
